FID,Street,SegmentID,LBoro,RBoro,LCB2010,RCB2010,NodeIDFrom,NodeIDTo,RW_TYPE,POSTED_SPE,FromLeft,ToLeft,FromRight,ToRight,LongFrom,LatFrom,LongTo,LatTo
0,EAST 168 STREET,78126,2,2,3001,2000,47740,9045677,1,25,599,699,596,716,-73.90346686,40.8303538,-73.90238005,40.82964663
1,WEST 192 STREET,79796,2,2,2000,1004,48679,48678,1,25,58,98,63,99,-73.90120068,40.86661308,-73.90207336,40.86699911
2,UNION AVENUE,77356,2,2,2000,3006,47288,47822,1,25,1017,1079,1016,1084,-73.90117669,40.82438891,-73.9005054,40.82600762
3,UNION AVENUE,77356,2,2,2000,3006,47288,47822,1,25,0,0,0,0,-73.90117669,40.82438891,-73.9005054,40.82600762
4,DELAFIELD AVENUE,73490,2,2,1004,1008,45034,45038,1, ,4601,4645,4600,4664,-73.90695663,40.89360794,-73.90695596,40.89544764
5,WEST 252 STREET,174633,2,2,1003,1001,84655,45050,1,25,0,0,0,0,-73.9070651,40.89927414,-73.90712198,40.89929112
6,CLAREMONT PARKWAY,78173,2,2,2007,1003,47763,47765,1,25,401,417,400,416,-73.90538358,40.83976898,-73.90454495,40.83949796
7,TOPPING AVENUE,78219,2,2,4000,2000,47788,47803,1,25,1801,1849,1800,1838,-73.90558712,40.84668899,-73.90552164,40.84748823
8,EAST 175 STREET,78218,2,2,2000,2001,47788,47792,1,25,261,299,260,298,-73.90558712,40.84668899,-73.90468716,40.84664386
9,WEST 234 STREET,80816,2,2,1004,1001,49300,49298,1,25,278,298,281,299,-73.9049553,40.88287821,-73.90571461,40.88330418
10,DAVIDSON AVENUE,79587,2,2,1000,4003,48563,48576,1,25,2251,2269,2250,2268,-73.90526389,40.85804718,-73.90486847,40.85869322
11,FULTON AVENUE,78137,2,2,2000,1002,47745,47840,1,25,1291,1403,1294,1406,-73.90343501,40.83221638,-73.90185606,40.83462212
12,FULTON AVENUE,78137,2,2,2000,1002,47745,47840,1,25,0,0,0,0,-73.90343501,40.83221638,-73.90185606,40.83462212
13,INDIAN ROAD,176643,2,2,3008,3007,95303,49337,1,25,0,0,0,0,-73.90322399,40.89581058,-73.90326166,40.8958526
14,EAST 173 STREET,78339,2,2,1016,2002,47856,47858,1,25,481,499,480,498,-73.901118,40.84159874,-73.90015501,40.84128653
15,JEROME AVENUE,73071,2,2,3000,2000,44749,48560,1,25,2051,2149,2050,2148,-73.9073329,40.85381641,-73.90557007,40.85578732
16,GRAND CONCOURSE,72377,2,2,2001,2001,44304,47798,1,25,1835,1869,1830,1868,-73.90753125,40.84781616,-73.90678099,40.84854382
17,WEST 230 STREET,9000277,2,2,1004,1003,9004993,44798,1,25,200,210,201,229,-73.9068872,40.87697564,-73.90719435,40.87745752
18,WEST 230 STREET,9000277,2,2,1004,1003,9004993,44798,1,25,0,0,0,0,-73.9068872,40.87697564,-73.90719435,40.87745752
19,WEST 230 STREET,9000277,2,2,1004,1003,9004993,44798,1,25,0,0,0,0,-73.9068872,40.87697564,-73.90719435,40.87745752
20,NAPLES TERRACE,79708,2,2,1001,1000,48634,48631,1,25,200,230,217,231,-73.90493488,40.87967804,-73.90529578,40.87986582
21,EAST 149 STREET,77201,2,2,6002,1008,47201,47257,1,25,0,0,870,886,-73.9034172,40.81150688,-73.90324274,40.81071288
22,EAST 149 STREET,77202,2,2,6001,6002,47201,47258,1,25,871,889,0,0,-73.9034172,40.81150688,-73.90271881,40.81091673
23,EAST 149 STREET,77202,2,2,6001,6002,47201,47258,1,25,0,0,0,0,-73.9034172,40.81150688,-73.90271881,40.81091673
24,BATHGATE AVENUE,78338,2,2,2002,2003,47855,47858,1,25,1619,1675,1618,1674,-73.9009145,40.83993445,-73.90015501,40.84128653
25,EAST 150 STREET,77204,2,2,4002,4003,47202,47204,1,25,777,805,776,798,-73.90696621,40.81365191,-73.90604608,40.8134606
26,CRESTON AVENUE,72393,2,2,1002,1004,44311,47808,1,25,1967,1979,1960,1980,-73.90698472,40.85038249,-73.90658127,40.85082109
27,WEST 250 STREET,80884,2,2,1008,1006,49343,49341,1, ,420,432,421,439,-73.90478132,40.8974863,-73.9051773,40.89803562
28,WEST 232 STREET,80819,2,2,4000,3001,49302,49299,1,25,230,248,0,0,-73.90470962,40.88055419,-73.90544981,40.88096658
29,TINTON AVENUE,107127,2,2,3002,3001,63717,47830,1,25,1191,1199,1192,1194,-73.9006181,40.8286932,-73.90042854,40.8291507
30,EAST 158 STREET,70575,2,2,2007,2008,43284,47222,1,25,681,717,680,714,-73.90725214,40.81988823,-73.90643962,40.81969322
31,TRINITY AVENUE,70576,2,2,2006,2007,43284,47232,1,25,801,831,800,830,-73.90725214,40.81988823,-73.90681155,40.82094447
32,WEST 232 STREET,130818,2,2,3001,1004,73482,44982,1,25,292,298,293,299,-73.90685408,40.88174689,-73.9072593,40.88196963
33,IRWIN AVENUE,73402,2,2,1002,1000,44983,49308,1,25,3401,3461,3400,3598,-73.90647513,40.88373137,-73.90472085,40.88524192
34,WASHINGTON AVENUE,9003096,2,2,3001,3000,47741,9005023,1,25,1221,1283,1222,1282,-73.90683775,40.83138421,-73.90626106,40.83242805
