ID,GIS ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
1,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/09/2012,20,10,11,14,13,20,34,66,100,52,68,85,85,94,104,105,147,120,91,83,74,49,42,42
2,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/10/2012,21,16,8,6,13,13,31,70,67,45,57,67,73,95,102,98,133,131,95,73,70,63,42,35
3,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/11/2012,27,14,6,5,12,16,34,75,69,71,67,70,90,89,115,115,130,143,106,89,68,64,56,43
4,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/12/2012,22,7,7,8,11,12,33,75,89,66,70,60,105,103,71,127,122,144,122,76,64,58,64,43
5,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/13/2012,31,17,7,5,13,28,29,68,84,64,83,89,88,113,113,126,133,135,102,106,58,58,55,54
6,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,01/14/2012,42,27,21,18,21,13,17,18,46,53,29,0,,,,,,,,,,,,
7,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/09/2012,27,12,12,4,22,27,66,154,155,138,105,124,140,120,165,197,152,174,128,95,87,73,57,42
8,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/10/2012,26,16,11,13,16,27,59,156,177,131,107,108,122,131,192,180,161,171,120,96,90,70,63,49
9,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/11/2012,32,16,8,9,15,26,63,169,178,148,139,131,126,137,178,194,168,160,143,114,78,64,49,45
10,15540,BEACH STREET,UNION PLACE,VAN DUZER STREET,SB,01/12/2012,24,12,7,18,11,23,61,146,177,128,117,111,134,134,171,184,157,167,148,112,86,77,63,51
