,SegmentID,NodeIDFrom,NodeIDTo,LCB2010,RCB2010,persons_injured,pedestrians_injured,volume_count
0,78126,0047740,9045677,3001,2000,2.0,0.0,0.0
1,79796,0048679,0048678,2000,1004,0.0,0.0,0.0
2,77356,0047288,0047822,2000,3006,0.0,0.0,0.0
3,73490,0045034,0045038,1004,1008,0.0,0.0,0.0
4,174633,0084655,0045050,1003,1001,0.0,0.0,0.0
5,78173,0047763,0047765,2007,1003,4.0,0.0,0.0
6,78219,0047788,0047803,4000,2000,0.0,0.0,0.0
7,78218,0047788,0047792,2000,2001,0.0,0.0,0.0
8,80816,0049300,0049298,1004,1001,0.0,0.0,0.0
9,79587,0048563,0048576,1000,4003,0.0,0.0,0.0
10,78137,0047745,0047840,2000,1002,2.0,0.0,0.0
11,176643,0095303,0049337,3008,3007,0.0,0.0,0.0
12,78339,0047856,0047858,1016,2002,0.0,0.0,0.0
13,73071,0044749,0048560,3000,2000,6.0,0.0,0.0
14,72377,0044304,0047798,2001,2001,3.0,2.0,0.0
15,9000277,9004993,0044798,1004,1003,0.0,0.0,0.0
16,79708,0048634,0048631,1001,1000,0.0,0.0,0.0
17,77201,0047201,0047257,6002,1008,3.0,0.0,0.0
18,77202,0047201,0047258,6001,6002,0.0,0.0,0.0
19,78338,0047855,0047858,2002,2003,0.0,0.0,0.0
20,77204,0047202,0047204,4002,4003,0.0,0.0,0.0
21,72393,0044311,0047808,1002,1004,5.0,1.0,0.0
22,80884,0049343,0049341,1008,1006,0.0,0.0,0.0
23,80819,0049302,0049299,4000,3001,0.0,0.0,0.0
24,107127,0063717,0047830,3002,3001,0.0,0.0,0.0
25,70575,0043284,0047222,2007,2008,0.0,0.0,0.0
26,70576,0043284,0047232,2006,2007,0.0,0.0,0.0
27,130818,0073482,0044982,3001,1004,0.0,0.0,0.0
28,73402,0044983,0049308,1002,1000,0.0,0.0,0.0
29,9003096,0047741,9005023,3001,3000,0.0,0.0,0.0
30,80858,0049324,0049325,2015,2014,0.0,0.0,0.0
31,77251,0047227,0047228,1010,1009,0.0,0.0,0.0
32,116474,0068544,0049338,1010,1006,0.0,0.0,0.0
33,79811,0048687,0048693,5000,6001,0.0,0.0,0.0
34,79860,0048717,0048777,3001,3000,0.0,0.0,0.0
35,77239,0047221,0047223,4001,4000,1.0,0.0,0.0
36,175816,0084826,0047784,2001,2000,0.0,0.0,0.0
37,79668,0048610,0048609,1000,1004,4.0,1.0,0.0
38,78274,0047819,0047828,1001,1000,0.0,0.0,0.0
39,176245,0079248,0048645,2000,4001,0.0,0.0,0.0
40,77339,0047279,0047280,2001,2002,0.0,0.0,0.0
41,78397,0047886,0047964,4006,4011,0.0,0.0,0.0
42,175818,0084985,0047783,5002,2002,0.0,0.0,0.0
43,175844,0090121,0047802,1005,1002,0.0,0.0,0.0
44,77242,0047222,0047234,2007,1004,3.0,0.0,0.0
45,81423,0049694,0049693,3000,1006,0.0,0.0,0.0
46,175861,0090144,0047904,3001,2000,6.0,0.0,0.0
47,77324,0047271,0047272,1000,3001,1.0,1.0,0.0
48,81457,0049715,0049712,2000,1000,0.0,0.0,0.0
49,78344,0047858,0047952,1016,1015,0.0,0.0,0.0
50,78374,0047874,0047952,1011,1016,0.0,0.0,0.0
51,77274,0047240,0047241,4002,5001,0.0,0.0,0.0
52,80825,0049307,0045004,2003,2001,0.0,0.0,0.0
53,9002660,9005171,0047750,2001,2001,1.0,0.0,0.0
54,9002656,9005169,0047749,2002,2001,1.0,0.0,0.0
55,80926,0049370,0049368,1000,3000,1.0,1.0,0.0
56,113652,0067303,0049335,2002,2001,0.0,0.0,0.0
57,79822,0048693,0048770,1002,1001,0.0,0.0,0.0
58,79764,0048663,0048664,3000,2000,0.0,0.0,0.0
59,78121,0047737,9045675,3002,2001,2.0,0.0,0.0
60,78163,0047758,0047768,1002,1001,0.0,0.0,0.0
61,78162,0047758,0047759,1001,1000,2.0,2.0,0.0
62,78288,0047827,0047829,3002,3003,0.0,0.0,0.0
63,80943,0049380,0049388,4004,4001,0.0,0.0,0.0
64,80944,0049380,0049391,4001,4000,0.0,0.0,0.0
65,81031,0049437,0049438,1004,1009,0.0,0.0,0.0
66,81442,0049705,0049703,2005,2004,0.0,0.0,0.0
67,77320,0047269,0047302,2004,3000,0.0,0.0,0.0
68,116537,0069044,0052037,3004,3006,0.0,0.0,0.0
69,85257,0052038,0052032,3016,3017,0.0,0.0,0.0
70,117740,0069047,0052038,3016,3006,0.0,0.0,0.0
71,95119,0057884,0057886,1009,4000,0.0,0.0,0.0
72,85252,0052034,0052031,3019,3015,0.0,0.0,0.0
73,85898,0052447,0052449,1000,1008,0.0,0.0,0.0
74,87776,0053507,0053506,1002,2002,0.0,0.0,0.0
75,80849,0049318,0049319,2004,2010,0.0,0.0,0.0
76,93841,0057071,0057076,2019,2010,0.0,0.0,0.0
77,73117,0044779,0044777,1008,1007,0.0,0.0,0.0
78,69859,0042884,0042885,5000,5001,0.0,0.0,0.0
79,95574,0058230,0058234,1003,1000,0.0,0.0,0.0
