,SegmentID,NodeIDFrom,NodeIDTo,LCB2010,RCB2010,persons_injured,pedestrians_injured,volume_count
188,81384,0049666,0054110,1025,1026,0.0,0.0,9021.0
346,88039,0053649,0053715,4006,1004,0.0,0.0,3027.0
422,69588,0042728,0042732,1018,1007,0.0,0.0,4951.0
494,88020,0053640,0053641,2000,1001,0.0,0.0,8288.0
502,88031,0053645,0053653,1003,3000,4.0,1.0,4763.0
531,9014414,9013057,0054274,4017,2000,0.0,0.0,13743.0
540,94485,0057485,0057486,1004,1006,0.0,0.0,7838.0
566,94468,0057475,0057476,1002,1003,1.0,1.0,8491.0
584,70376,0043172,0043174,1000,2003,0.0,0.0,14177.0
684,72335,0044279,0044283,1000,1002,3.0,0.0,2495.0
761,88826,0054101,0054102,2007,4004,0.0,0.0,19158.0
813,173496,0078959,0042866,3006,1002,1.0,1.0,22642.0
820,70220,0043083,0043084,6001,1002,0.0,0.0,10076.0
835,73220,0044850,0044852,2000,4001,0.0,0.0,58463.0
847,69696,0042788,0042796,2013,2014,3.0,0.0,7367.0
857,69698,0042789,0042872,2014,2015,1.0,1.0,3895.0
919,69836,0042871,0042941,2004,1002,21.0,8.0,20420.0
945,71669,0043903,0043905,2000,2001,0.0,0.0,7174.0
1218,78177,0047766,0047780,2008,2007,0.0,0.0,23878.0
1225,77221,0047210,0047261,4001,5000,6.0,0.0,8090.0
1285,174289,0093330,0093338,3000,3000,0.0,0.0,7491.0
1324,176139,0048496,0085089,4002,3001,0.0,0.0,11252.0
1350,77328,0064789,0047276,1004,3000,0.0,0.0,5512.0
1433,178549,0053957,0079120,1011,1012,0.0,0.0,6877.0
1461,111203,0042586,0066354,1011,1010,0.0,0.0,23711.0
1620,176291,0048752,0090820,1001,1000,0.0,0.0,26390.0
1633,185651,0084740,0048218,2002,1002,1.0,1.0,2142.0
1647,179547,0057115,0097246,2007,1049,0.0,0.0,1704.0
1849,174218,0043961,0089075,2002,3001,0.0,0.0,11863.0
1926,78404,0047889,0047892,6003,1000,0.0,0.0,19450.0
1962,78342,0047857,0047950,2003,2004,1.0,0.0,13210.0
2150,79382,0048443,0048446,1009,1003,5.0,1.0,12549.0
2227,116588,0067932,0053781,1004,1002,0.0,0.0,17385.0
2398,87818,0053531,0053533,2009,2001,3.0,0.0,9203.0
2420,86360,0052715,0053576,3005,3004,0.0,0.0,1615.0
2578,72331,0044277,0044282,1000,1001,1.0,1.0,3978.0
2586,174305,0089335,0044078,2000,2000,3.0,0.0,6747.0
2615,71980,0044078,0044166,1001,1001,0.0,0.0,5951.0
2625,73466,0045021,0045020,1000,2017,0.0,0.0,8781.0
2719,70010,0042969,0042972,2001,2002,0.0,0.0,2794.0
2744,71759,0043955,0043958,2000,3002,0.0,0.0,10272.0
2758,71591,0043863,0043939,1000,1000,0.0,0.0,5828.0
2928,9001818,9004666,0043184,1004,2005,0.0,0.0,6591.0
2993,176279,0093182,0048738,1003,1003,0.0,0.0,17126.0
3004,78481,0047936,0047937,2001,2001,1.0,0.0,7040.0
3123,81417,0049688,0049697,3000,2003,0.0,0.0,9510.0
3227,177868,0052388,0084628,5011,4005,0.0,0.0,12419.0
3366,9007352,0056826,9007047,1008,2001,0.0,0.0,4192.0
3502,73426,0079502,0070925,1004,1005,0.0,0.0,656.0
3522,132816,0101173,0079389,1032,1034,0.0,0.0,4730.0
3776,70015,0042972,0043025,2001,2007,0.0,0.0,7087.0
3794,176295,0048825,0092196,1000,1000,1.0,1.0,21158.0
3913,87479,0053347,0053429,1001,2001,0.0,0.0,7931.0
3915,87483,0053349,0053430,3003,1000,0.0,0.0,5225.0
3938,9003667,9006608,9006634,3002,2000,0.0,0.0,3890.0
4074,176426,0079309,0049037,1007,1006,0.0,0.0,3607.0
4260,177940,0079222,0052570,1000,1001,0.0,0.0,9717.0
4599,89610,0054555,0054563,4003,4003,1.0,0.0,3892.0
4673,71493,0043808,0043809,1003,1012,0.0,0.0,8871.0
4715,69976,0042951,0043006,2002,3001,0.0,0.0,11996.0
4730,89600,0054550,0054551,3000,2000,0.0,0.0,9099.0
4749,87423,0053315,0053316,1017,3002,0.0,0.0,2141.0
4803,69780,0042841,0042842,2009,1017,0.0,0.0,17759.0
4915,79934,0048761,0048763,1000,2001,0.0,0.0,18977.0
4934,107111,0063650,0047453,1000,1001,0.0,0.0,10933.0
5104,176277,0079376,0093182,1003,1003,0.0,0.0,20030.0
5474,179513,0056848,0084998,1005,2008,0.0,0.0,12174.0
5658,184562,0044188,0102842,4000,6000,0.0,0.0,28344.0
5885,87636,0053432,0053434,2000,1000,0.0,0.0,2730.0
5930,119816,0048190,0048207,1002,1006,0.0,0.0,10004.0
5961,79098,0048281,0048283,1009,2001,3.0,1.0,10944.0
6006,80377,0049018,0049031,4000,1001,1.0,0.0,8782.0
6031,86541,0052816,0052906,3007,3010,0.0,0.0,6411.0
6123,88159,0053715,0053725,4007,1003,0.0,0.0,2482.0
6143,86118,0052568,0052571,5005,1000,0.0,0.0,6994.0
6316,72320,0044271,0044277,1002,1001,0.0,0.0,8383.0
6432,70394,0043184,0043278,1004,2003,0.0,0.0,5494.0
6507,88574,0053952,0053957,1019,1012,0.0,0.0,5675.0
6566,71856,0044008,0044098,1000,1003,0.0,0.0,8813.0
6575,88431,0053872,0053876,2000,1019,2.0,0.0,16166.0
6589,88781,0054076,0054077,3009,2010,4.0,0.0,19968.0
6684,69979,0042953,0042954,2000,3000,0.0,0.0,4134.0
6702,121069,0070833,9051695,1000,1001,2.0,0.0,9169.0
6831,93653,0056952,0056953,3007,3006,0.0,0.0,2228.0
6972,113476,0066809,0047766,2010,2007,1.0,0.0,19587.0
7039,176284,0048738,0093180,1003,1001,0.0,0.0,40781.0
7068,108794,0047219,0064793,2001,1002,0.0,0.0,5087.0
7073,108866,0049647,0064995,4000,1025,0.0,0.0,8112.0
7222,116416,0048024,0069066,1007,1002,0.0,0.0,6770.0
7392,176312,0048841,0090867,1001,4000,1.0,1.0,7232.0
7448,185661,0049037,0084819,1004,1005,0.0,0.0,3221.0
7761,72860,0044616,0044618,1002,1000,0.0,0.0,5400.0
7813,87453,0053333,0053347,2000,2001,5.0,3.0,11248.0
7845,79377,0048441,0048429,1007,1004,0.0,0.0,19692.0
7881,80494,0049094,0049092,4004,4001,0.0,0.0,21098.0
7984,88296,0053793,0053794,3000,3000,1.0,0.0,20488.0
8050,69589,0042743,0042728,1019,1008,0.0,0.0,3347.0
8056,88048,0053653,0053650,1003,3000,6.0,2.0,22409.0
8168,94639,0057574,0057577,1005,1000,0.0,0.0,8163.0
8172,95195,0057938,0057939,4003,1008,1.0,0.0,14818.0
8229,94154,0057289,0057292,1001,1006,0.0,0.0,8168.0
8330,70395,0043184,0043279,2003,1001,0.0,0.0,7927.0
8526,70087,0043011,0043093,4002,6000,0.0,0.0,3094.0
8532,71729,0043939,0043940,1001,1001,0.0,0.0,2195.0
8669,77429,0047331,0047387,5000,4000,3.0,1.0,17246.0
9480,79757,0048659,0048666,1000,1001,1.0,0.0,9166.0
9669,78940,0048192,0048195,1003,4000,1.0,1.0,8872.0
9863,88298,0053794,0053857,7001,2001,4.0,0.0,18391.0
9934,87949,0053603,0053534,2008,2005,0.0,0.0,5125.0
9978,89015,0054208,9013048,1009,1027,0.0,0.0,36149.0
10043,70607,0043303,0047240,4002,5003,5.0,0.0,14725.0
10065,114236,0057477,0057480,2006,1000,0.0,0.0,7306.0
10117,95624,0058260,0058265,2003,2002,0.0,0.0,9441.0
10121,70360,0043162,0043163,3001,1000,0.0,0.0,15950.0
10145,70380,0043175,0043176,2009,2004,0.0,0.0,4659.0
10148,70374,0043170,0043268,1000,3001,0.0,0.0,9347.0
10435,77424,0047328,0047331,5001,4001,1.0,0.0,13247.0
10493,70364,0043164,0043175,2008,2007,4.0,0.0,4342.0
10610,93887,0057096,0057093,3011,1005,0.0,0.0,6629.0
10661,95433,0058118,0058119,0001,0002,0.0,0.0,19332.0
10673,78800,0048113,0048200,2003,1000,0.0,0.0,1303.0
10696,9009765,9005365,0047921,3001,4003,0.0,0.0,9330.0
10783,174360,0044173,0093318,4000,1000,0.0,0.0,6889.0
11111,188574,0101104,0105044,2004,2003,5.0,1.0,8519.0
11124,176366,0048995,0091128,7001,3000,0.0,0.0,8075.0
11359,78340,0047856,0047874,1017,1016,0.0,0.0,6531.0
11478,79388,0048446,0048450,1010,1002,3.0,0.0,20475.0
11544,178395,0098012,0053407,1036,1001,0.0,0.0,41085.0
11661,78877,0048157,0048158,1003,1000,1.0,1.0,20697.0
11788,88097,0053680,0053685,2009,3005,0.0,0.0,2570.0
11852,87901,0053577,0053583,1007,2004,1.0,0.0,1185.0
11910,94486,0057486,0057575,1001,1006,0.0,0.0,11025.0
11963,72317,0044270,0044271,1003,1004,0.0,0.0,8194.0
12045,73451,0045013,0045020,1003,1000,0.0,0.0,4731.0
12063,72026,0044101,0044103,1000,2000,3.0,1.0,15840.0
12066,9001819,0043182,9004676,2005,1001,0.0,0.0,6366.0
12094,72149,0044172,0044173,4000,1001,0.0,0.0,5966.0
12208,70223,0043084,0043096,6000,1001,0.0,0.0,12023.0
12547,93757,0057017,0057109,1048,3000,0.0,0.0,3880.0
12557,78760,0048091,0048100,2005,2002,3.0,0.0,6619.0
12618,78529,0047964,0047968,4006,4007,0.0,0.0,6867.0
12639,121148,0049597,0071218,5001,1024,4.0,0.0,15245.0
12962,174179,0043906,0091329,2000,2001,6.0,0.0,10104.0
13244,178157,0053049,0095510,1008,2015,0.0,0.0,15914.0
13349,77214,0047207,0047208,1000,1004,0.0,0.0,2495.0
13395,177876,0084485,0052400,5005,4004,0.0,0.0,11573.0
13400,88880,0054133,0054142,1035,1001,0.0,0.0,4971.0
13439,87447,0053330,0053329,1039,2001,1.0,0.0,20945.0
13461,85912,0052455,0053330,1039,2002,9.0,0.0,20944.0
13804,87808,0053526,0053531,1000,2001,0.0,0.0,2297.0
13880,73436,0045003,0045021,1000,2010,1.0,0.0,13081.0
13907,73427,0044996,0045013,1004,1000,0.0,0.0,2218.0
13995,70379,0043174,0043187,1005,2003,0.0,0.0,13270.0
14002,73294,0044904,0044909,4001,1001,0.0,0.0,59087.0
14011,70352,0043155,0043156,1000,2001,0.0,0.0,1636.0
14138,71757,0043953,0043955,2001,3000,1.0,1.0,16631.0
14301,78805,0048116,0048218,2001,2002,0.0,0.0,966.0
14311,176290,0090550,0048744,1000,1001,3.0,2.0,9496.0
14347,106919,0064703,0043008,2000,3001,0.0,0.0,15833.0
14407,176292,0090820,0048826,1001,1000,11.0,4.0,27474.0
14410,78502,0047949,0047951,2004,1000,4.0,3.0,4720.0
14423,81165,0049521,0049522,1000,1015,2.0,1.0,18789.0
14607,107126,0047821,0063717,3002,3001,0.0,0.0,2907.0
14618,176365,0091128,0093431,7001,3000,0.0,0.0,8901.0
14642,176380,0091147,0093125,1000,1002,0.0,0.0,1525.0
14722,113134,0044695,0066765,1000,3000,0.0,0.0,11828.0
14741,179545,0057113,0079107,1051,1003,0.0,0.0,68330.0
14823,116587,0053779,0067932,1004,1002,0.0,0.0,16192.0
14827,111919,0053904,0067515,1005,1005,0.0,0.0,10177.0
14950,174566,0044854,0084498,1002,3001,0.0,0.0,56372.0
15036,188247,0048890,0104492,1000,1000,0.0,0.0,4073.0
16028,9001489,0043006,9003991,2001,3001,0.0,0.0,9241.0
16045,9001519,9004294,9004296,4004,6001,0.0,0.0,2965.0
16103,9001821,9004680,0043184,2005,1001,3.0,0.0,6371.0
16476,9002974,9007174,9007172,4000,6002,0.0,0.0,1586.0
16477,9002975,9007172,9007170,4000,6002,0.0,0.0,1524.0
16478,9002977,9007170,9007167,4000,6002,0.0,0.0,1661.0
16636,9003579,9004035,9004040,3001,3001,0.0,0.0,18822.0
16647,9003670,9006637,0053439,3002,2000,0.0,0.0,3633.0
16793,9003982,9006795,9006796,1003,2000,0.0,0.0,5587.0
16794,9003983,9006796,9006797,1003,2000,0.0,0.0,5503.0
17028,9004434,9006080,9006078,3001,1000,0.0,0.0,3091.0
17484,9008556,9004321,9004396,2001,2000,0.0,0.0,7020.0
17489,9008598,9006078,9006076,3001,1000,0.0,0.0,2993.0
17562,9009764,0047919,9005365,3001,4003,0.0,0.0,8908.0
17883,217716,9027192,0043011,4002,6001,0.0,0.0,2705.0
18133,226748,0057836,9029152,2009,1031,0.0,0.0,15023.0
18297,236204,0049091,9030921,5001,4001,0.0,0.0,13114.0
18500,237320,9031189,9031190,1004,1018,0.0,0.0,13365.0
18695,238761,9031585,0100531,2000,1018,0.0,0.0,13730.0
18716,239605,0102514,0084742,1018,1018,0.0,0.0,18501.0
