"","NODEID","name","year","zone_ind"
"1","1",NA,NA,0
"2","2",NA,NA,0
"3","3",NA,NA,0
"4","4",NA,NA,0
"5","5",NA,NA,0
"6","6",NA,NA,0
"7","7",NA,NA,0
"8","8",NA,NA,0
"9","9",NA,NA,0
"10","10",NA,NA,0
"11","11",NA,NA,0
"12","12",NA,NA,0
"13","13",NA,NA,0
"14","14",NA,NA,0
"15","15",NA,NA,0
"16","16",NA,NA,0
"17","17",NA,NA,0
"18","18",NA,NA,0
"19","19",NA,NA,0
"20","20",NA,NA,0
"21","21",NA,NA,0
"22","22",NA,NA,0
"23","23",NA,NA,0
"24","24",NA,NA,0
"25","25",NA,NA,0
"26","26",NA,NA,0
"27","27",NA,NA,0
"28","28",NA,NA,0
"29","30",NA,NA,0
"30","31",NA,NA,0
"31","32",NA,NA,0
"32","33",NA,NA,0
"33","34",NA,NA,0
"34","35",NA,NA,0
"35","36",NA,NA,0
"36","37",NA,NA,0
"37","38",NA,NA,0
"38","39",NA,NA,0
"39","40",NA,NA,0
"40","41",NA,NA,0
"41","42",NA,NA,0
"42","43",NA,NA,0
"43","44",NA,NA,0
"44","45",NA,NA,0
"45","46",NA,NA,0
"46","47",NA,NA,0
"47","48",NA,NA,0
"48","49",NA,NA,0
"49","50",NA,NA,0
"50","51",NA,NA,0
"51","52",NA,NA,0
"52","53",NA,NA,0
"53","54",NA,NA,0
"54","55",NA,NA,0
"55","56",NA,NA,0
"56","57",NA,NA,0
"57","58",NA,NA,0
"58","59",NA,NA,0
"59","60",NA,NA,0
"60","61",NA,NA,0
"61","62",NA,NA,0
"62","63",NA,NA,0
"63","64",NA,NA,0
"64","65",NA,NA,0
"65","66",NA,NA,0
"66","67",NA,NA,0
"67","68",NA,NA,0
"68","69",NA,NA,0
"69","70",NA,NA,0
"70","71",NA,NA,0
"71","72",NA,NA,0
"72","73",NA,NA,0
"73","74",NA,NA,0
"74","75",NA,NA,0
"75","76",NA,NA,0
"76","77",NA,NA,0
"77","78",NA,NA,0
"78","79",NA,NA,0
"79","80",NA,NA,0
"80","81",NA,NA,0
"81","82",NA,NA,0
"82","83",NA,NA,0
"83","84",NA,NA,0
"84","85",NA,NA,0
"85","86",NA,NA,0
"86","87",NA,NA,0
"87","88",NA,NA,0
"88","89",NA,NA,0
"89","90",NA,NA,0
"90","91",NA,NA,0
"91","92",NA,NA,0
"92","93",NA,NA,0
"93","94",NA,NA,0
"94","95",NA,NA,0
"95","96",NA,NA,0
"96","97",NA,NA,0
"97","98",NA,NA,0
"98","99",NA,NA,0
"99","100",NA,NA,0
"100","101",NA,NA,0
"101","102",NA,NA,0
"102","103",NA,NA,0
"103","104",NA,NA,0
"104","105",NA,NA,0
"105","106",NA,NA,0
"106","107",NA,NA,0
"107","108",NA,NA,0
"108","109",NA,NA,0
"109","110",NA,NA,0
"110","111",NA,NA,0
"111","112",NA,NA,0
"112","113",NA,NA,0
"113","114",NA,NA,0
"114","115",NA,NA,0
"115","116",NA,NA,0
"116","117",NA,NA,0
"117","118",NA,NA,0
"118","119",NA,NA,0
"119","120",NA,NA,0
"120","121",NA,NA,0
"121","122",NA,NA,0
"122","123",NA,NA,0
"123","124",NA,NA,0
"124","125",NA,NA,0
"125","126",NA,NA,0
"126","127",NA,NA,0
"127","128",NA,NA,0
"128","129",NA,NA,0
"129","130",NA,NA,0
"130","131",NA,NA,0
"131","132",NA,NA,0
"132","133",NA,NA,0
"133","134",NA,NA,0
"134","135",NA,NA,0
"135","136",NA,NA,0
"136","137",NA,NA,0
"137","138",NA,NA,0
"138","139",NA,NA,0
"139","140",NA,NA,0
"140","141",NA,NA,0
"141","143",NA,NA,0
"142","144",NA,NA,0
