,SegmentID,NodeIDFrom,NodeIDTo,LCB2010,RCB2010,persons_injured,pedestrians_injured,volume_count
236,49490,0030475,0030531,1008,1000,0.0,0.0,11765.0
478,73845,0045255,0045247,1002,2002,0.0,0.0,7128.0
901,57005,0035077,0035079,1004,1011,0.0,0.0,6500.0
1005,55805,0034384,0034387,2003,2007,0.0,0.0,1083.0
1034,58320,0035929,0035927,1089,1093,0.0,0.0,9276.0
1039,56912,0035022,0035122,1001,2002,8.0,5.0,28026.0
1414,66880,0041173,0041172,1006,1005,1.0,1.0,9225.0
1987,101166,0061714,0061757,1005,1008,0.0,0.0,8547.0
2050,73961,0045327,0045331,1012,1013,2.0,0.0,20867.0
2490,109429,0065398,0046155,1005,2000,7.0,1.0,16322.0
2645,96120,0058585,0058584,3010,3011,0.0,0.0,11255.0
3078,74189,0045461,0045460,2004,2003,0.0,0.0,12647.0
3594,65633,0040406,0040405,1015,1017,0.0,0.0,12454.0
3646,52610,0032383,0032385,2005,1000,0.0,0.0,17141.0
3794,130633,0046784,0073699,1001,1002,0.0,0.0,6649.0
4197,119860,0045310,0045322,1019,1018,0.0,0.0,21712.0
5013,191797,0093061,0105464,2004,1224,0.0,0.0,11178.0
5068,150850,0055400,0083420,1003,1089,0.0,0.0,5623.0
5476,102036,0062299,0062295,4003,3009,0.0,0.0,5509.0
5589,56138,0034568,0033826,2005,1000,0.0,0.0,7562.0
5676,129650,0072240,0041346,1002,1005,0.0,0.0,9793.0
5748,75313,0046136,0046139,1003,1004,0.0,0.0,2681.0
5810,82507,0050331,0050313,1182,1000,0.0,0.0,3153.0
5909,82326,0050222,0050224,1005,2002,0.0,0.0,16999.0
6124,62171,0038316,0038315,2000,1006,0.0,0.0,11309.0
6223,56878,0035001,0035097,1009,1000,3.0,0.0,6746.0
6276,64255,0039622,0039621,1005,1004,0.0,0.0,13212.0
6293,64258,0039624,0039623,2005,1003,0.0,0.0,15943.0
6323,90259,0054958,0054960,1224,1223,0.0,0.0,11293.0
6396,56884,0035004,0035009,3014,1006,4.0,3.0,12535.0
6756,67871,0041722,0041657,1001,1002,3.0,2.0,12633.0
7245,57194,0035185,0035188,2025,1005,21.0,4.0,24373.0
7285,64444,0039732,0039811,1006,1011,3.0,0.0,8480.0
7435,57167,0035171,0035268,2005,2003,0.0,0.0,4654.0
7724,97537,0059423,0059433,1001,1010,0.0,0.0,657.0
8003,97387,0059343,0059345,1005,1007,0.0,0.0,1798.0
8081,100656,0061396,0061391,4002,1000,0.0,0.0,9028.0
8089,101668,0062055,0062057,2006,1034,0.0,0.0,6290.0
8292,98876,0060202,0060203,2010,1000,0.0,0.0,9757.0
8455,52186,0032112,0032113,1002,2004,0.0,0.0,5332.0
8478,52188,0032113,0032114,1002,2003,0.0,0.0,8072.0
8493,185120,0081278,0051490,1006,2017,0.0,0.0,14829.0
8801,177744,0085775,0051510,1020,1034,0.0,0.0,1814.0
